NODES_1;U1_1;U2_1;U3_1;R1_2;R2_2;R3_2;U1_2;U2_2;U3_2;R1_2;R2_2;R3_2;U1_3;U2_3;U3_3;R1_3;R2_3;R3_3;U1_4;U2_4;U3_4;R1_4;R2_4;R3_4;U1_5;U2_5;U3_5;R1_5;R2_5;R3_5
63;0,000115876;-0,001087548;2,25E-05;5,86E-06;1,37E-06;-0,000121997;0,000115876;-0,001087548;2,25E-05;5,86E-06;1,37E-06;-0,000121997;4,60E-05;-7,91E-05;2,03E-05;-1,39E-07;-1,36E-06;-2,10E-05;0,000175364;-0,001176928;1,68E-05;5,06E-06;3,49E-06;-0,000144247;0,000334048;-0,002028795;5,20E-05;-7,29E-05;2,27E-06;-0,000288893
64;0,000105945;-0,00071059;2,52E-05;3,19E-07;1,14E-06;-0,000127158;0,000105945;-0,00071059;2,52E-05;3,19E-07;1,14E-06;-0,000127158;4,16E-05;-1,99E-05;1,73E-05;2,98E-07;-1,48E-06;-1,80E-05;0,000157353;-0,000736828;2,75E-05;2,69E-07;2,56E-06;-0,000146544;0,000299566;-0,001250393;6,17E-05;-5,70E-05;2,29E-07;-0,000293649
65;9,19E-05;-0,00042427;2,56E-05;-5,02E-06;-4,24E-06;-0,000131619;9,19E-05;-0,00042427;2,56E-05;-5,02E-06;-4,24E-06;-0,000131619;3,52E-05;9,11E-06;1,47E-05;-1,66E-07;-4,49E-06;-7,94E-06;0,000134498;-0,000418206;3,13E-05;-5,19E-06;-7,36E-06;-0,000141092;0,000256818;-0,000697596;6,44E-05;-4,72E-05;-1,09E-05;-0,000270884
66;9,59E-05;-0,000429481;2,74E-05;-1,33E-06;-1,01E-05;-0,000128662;9,59E-05;-0,000429481;2,74E-05;-1,33E-06;-1,01E-05;-0,000128662;3,84E-05;8,82E-06;1,46E-05;-1,08E-07;-5,08E-06;-7,04E-06;0,000140892;-0,000423702;3,30E-05;-1,37E-06;-1,36E-05;-0,000137468;0,000272173;-0,000732794;6,68E-05;-4,07E-05;-2,23E-05;-0,000270924
67;0,000104596;-0,000708329;2,86E-05;4,66E-06;5,75E-07;-0,000123537;0,000104596;-0,000708329;2,86E-05;4,66E-06;5,75E-07;-0,000123537;4,34E-05;-1,94E-05;1,76E-05;5,55E-07;-1,79E-06;-1,80E-05;0,00015626;-0,000734304;3,13E-05;4,92E-06;1,40E-06;-0,00014295;0,000302453;-0,001286311;6,83E-05;-4,92E-05;-1,72E-06;-0,000295449
68;0,000115167;-0,001080705;2,38E-05;1,02E-05;1,54E-06;-0,000122038;0,000115167;-0,001080705;2,38E-05;1,02E-05;1,54E-06;-0,000122038;4,73E-05;-7,93E-05;2,04E-05;-1,02E-07;-1,42E-06;-2,12E-05;0,000173427;-0,001170735;1,86E-05;9,52E-06;3,53E-06;-0,00014467;0,000334201;-0,00207652;5,50E-05;-6,54E-05;2,95E-06;-0,000295929
69;0,000116227;-0,001353942;1,73E-05;1,53E-05;-4,61E-07;-0,000103002;0,000116227;-0,001353942;1,73E-05;1,53E-05;-4,61E-07;-0,000103002;4,73E-05;-0,00012225;2,37E-05;-7,40E-07;-1,57E-06;-1,39E-05;0,000176361;-0,001490133;5,92E-06;1,42E-05;1,40E-06;-0,000118156;0,000341039;-0,002648563;3,99E-05;-7,39E-05;6,92E-06;-0,000238682
70;0,000122275;-0,001682606;1,75E-05;2,56E-05;-3,65E-06;-6,85E-05;0,000122275;-0,001682606;1,75E-05;2,56E-05;-3,65E-06;-6,85E-05;5,08E-05;-0,000157992;3,07E-05;-2,25E-06;-2,23E-06;-4,80E-06;0,000188847;-0,001858534;-5,04E-06;2,33E-05;-1,64E-06;-7,41E-05;0,000366565;-0,003296371;3,24E-05;-8,05E-05;-1,49E-06;-0,000144981
71;0,00012097;-0,001817877;2,60E-05;3,08E-05;-1,16E-06;-2,85E-05;0,00012097;-0,001817877;2,60E-05;3,08E-05;-1,16E-06;-2,85E-05;5,35E-05;-0,000167891;3,70E-05;-2,29E-06;-2,42E-06;-2,23E-06;0,000192241;-0,002004773;-4,93E-06;2,84E-05;1,61E-06;-3,07E-05;0,00037607;-0,003554181;3,77E-05;-8,00E-05;1,05E-08;-6,44E-05
72;0,000128163;-0,001884407;3,34E-05;4,23E-05;-1,24E-06;-1,60E-05;0,000128163;-0,001884407;3,34E-05;4,23E-05;-1,24E-06;-1,60E-05;5,84E-05;-0,000175478;4,39E-05;-1,93E-06;-2,45E-06;-2,92E-06;0,000206062;-0,002077921;-8,45E-06;4,00E-05;2,07E-06;-1,82E-05;0,000402861;-0,00368717;3,85E-05;-6,43E-05;9,13E-07;-3,65E-05
73;0,000138119;-0,001933839;3,39E-05;3,41E-05;-3,46E-07;-1,69E-05;0,000138119;-0,001933839;3,39E-05;3,41E-05;-3,46E-07;-1,69E-05;6,49E-05;-0,000191784;5,21E-05;-1,41E-06;-2,77E-06;-7,92E-06;0,00022362;-0,002140102;-1,90E-05;3,08E-05;2,82E-06;-2,31E-05;0,000438002;-0,003797136;2,94E-05;-8,31E-05;2,02E-06;-4,67E-05
74;0,000153812;-0,002010268;3,28E-05;3,40E-05;-2,45E-06;-4,27E-05;0,000153812;-0,002010268;3,28E-05;3,40E-05;-2,45E-06;-4,27E-05;7,16E-05;-0,000224251;6,07E-05;-7,08E-07;-3,58E-06;-1,71E-05;0,000246054;-0,002241009;-2,90E-05;2,90E-05;1,03E-06;-5,53E-05;0,00048179;-0,003979708;2,04E-05;-9,01E-05;2,75E-07;-0,000114281
75;0,000165084;-0,002097258;3,64E-05;3,46E-05;8,55E-07;-3,03E-06;0,000165084;-0,002097258;3,64E-05;3,46E-05;8,55E-07;-3,03E-06;8,10E-05;-0,000301175;7,06E-05;1,29E-06;-3,52E-06;-2,30E-05;0,000267102;-0,002384211;-3,99E-05;2,55E-05;5,06E-06;-1,96E-05;0,000524766;-0,00426368;1,21E-05;-9,81E-05;4,91E-06;-5,42E-05
76;0,000177657;-0,002120358;4,30E-05;3,52E-05;-1,27E-06;-1,38E-05;0,000177657;-0,002120358;4,30E-05;3,52E-05;-1,27E-06;-1,38E-05;8,80E-05;-0,000365005;7,70E-05;3,19E-06;-2,37E-06;-2,57E-05;0,000286166;-0,00245261;-4,35E-05;2,25E-05;2,02E-06;-3,17E-05;0,000563034;-0,004418556;1,13E-05;-0,00010106;1,29E-06;-7,84E-05
77;0,000186374;-0,002154026;4,95E-05;4,40E-05;-7,24E-07;-8,42E-06;0,000186374;-0,002154026;4,95E-05;4,40E-05;-7,24E-07;-8,42E-06;9,67E-05;-0,00044785;8,45E-05;5,86E-06;-2,49E-06;-2,90E-05;0,000303045;-0,002544136;-4,83E-05;2,68E-05;2,35E-06;-2,87E-05;0,000598251;-0,004619107;8,93E-06;-9,08E-05;1,90E-06;-7,18E-05
78;0,00019591;-0,002163188;4,92E-05;3,31E-05;-1,24E-06;2,58E-06;0,00019591;-0,002163188;4,92E-05;3,31E-05;-1,24E-06;2,58E-06;0,000105089;-0,000541277;9,29E-05;8,68E-06;-2,63E-06;-3,27E-05;0,000320826;-0,002618594;-5,90E-05;1,05E-05;1,66E-06;-2,03E-05;0,000633477;-0,004787853;-1,15E-06;-0,000113215;3,53E-07;-5,46E-05
79;0,000200467;-0,002115119;4,80E-05;2,91E-05;2,42E-06;3,26E-05;0,000200467;-0,002115119;4,80E-05;2,91E-05;2,42E-06;3,26E-05;0,000113019;-0,000639596;0,000102009;1,19E-05;-4,32E-06;-3,70E-05;0,000332691;-0,002637986;-6,93E-05;1,00E-06;7,05E-06;7,72E-06;0,000659768;-0,004870012;-8,32E-06;-0,000120133;4,25E-06;-9,72E-06
80;0,000212592;-0,001997043;5,13E-05;2,09E-05;-2,44E-07;2,91E-05;0,000212592;-0,001997043;5,13E-05;2,09E-05;-2,44E-07;2,91E-05;0,000125134;-0,000787388;0,000112273;1,70E-05;-3,84E-06;-4,04E-05;0,000355193;-0,002620207;-7,80E-05;-1,56E-05;4,51E-06;1,70E-06;0,000706557;-0,004920665;-1,60E-05;-0,000129691;2,33E-07;-2,04E-05
81;0,000223407;-0,001931539;5,56E-05;1,92E-05;-6,03E-07;2,51E-05;0,000223407;-0,001931539;5,56E-05;1,92E-05;-6,03E-07;2,51E-05;0,000132596;-0,000891625;0,000118277;2,07E-05;-2,29E-06;-4,55E-05;0,000372024;-0,002625477;-8,04E-05;-2,33E-05;1,33E-06;-5,79E-06;0,000740971;-0,004983491;-1,69E-05;-0,000131207;1,07E-06;-3,77E-05
82;0,000232809;-0,001837814;5,91E-05;1,76E-05;-2,10E-06;3,72E-05;0,000232809;-0,001837814;5,91E-05;1,76E-05;-2,10E-06;3,72E-05;0,000143213;-0,001043711;0,000124866;2,62E-05;-6,79E-07;-5,50E-05;0,000390159;-0,002635312;-8,36E-05;-3,33E-05;4,28E-07;-3,91E-07;0,000778735;-0,005075561;-2,04E-05;-0,000129554;9,31E-07;-3,08E-05
83;0,00023378;-0,001721102;6,12E-05;1,78E-05;-8,11E-07;6,98E-05;0,00023378;-0,001721102;6,12E-05;1,78E-05;-8,11E-07;6,98E-05;0,000151386;-0,001175041;0,000127493;2,78E-05;1,02E-06;-6,37E-05;0,000397817;-0,002607824;-8,82E-05;-4,22E-05;7,62E-06;2,68E-05;0,000797458;-0,005096755;-2,45E-05;-0,000128168;5,08E-06;1,16E-05
84;0,000244813;-0,001434177;7,05E-05;1,81E-05;-5,73E-06;7,98E-05;0,000244813;-0,001434177;7,05E-05;1,81E-05;-5,73E-06;7,98E-05;0,000165663;-0,001450461;0,000126358;2,20E-05;4,03E-06;-8,05E-05;0,000419961;-0,002503851;-9,02E-05;-6,56E-05;4,82E-06;2,73E-05;0,000844561;-0,005074277;-3,32E-05;-0,000138342;1,04E-06;4,43E-07
85;0,000258713;-0,001161648;8,07E-05;2,46E-05;-2,89E-06;6,29E-05;0,000258713;-0,001161648;8,07E-05;2,46E-05;-2,89E-06;6,29E-05;0,000177328;-0,001740486;0,000125628;2,23E-05;-7,51E-07;-7,07E-05;0,000443341;-0,002420901;-8,76E-05;-8,04E-05;3,71E-06;1,69E-05;0,000891538;-0,005093925;-3,39E-05;-0,000129026;-3,01E-06;-1,07E-05
86;0,000266727;-0,001031397;8,34E-05;2,34E-05;-1,40E-06;5,43E-05;0,000266727;-0,001031397;8,34E-05;2,34E-05;-1,40E-06;5,43E-05;0,000178656;-0,001859329;0,00012807;2,25E-05;4,31E-07;-3,78E-05;0,000453627;-0,002371573;-8,98E-05;-9,06E-05;6,65E-08;2,68E-05;0,000910279;-0,005071051;-3,51E-05;-0,000130842;1,35E-06;3,16E-05
87;0,000277312;-0,000881562;8,45E-05;1,85E-05;2,09E-07;4,48E-05;0,000277312;-0,000881562;8,45E-05;1,85E-05;2,09E-07;4,48E-05;0,000188887;-0,001955026;0,000130716;2,46E-05;-8,53E-07;-2,59E-05;0,000471804;-0,002289339;-9,11E-05;-0,000102279;5,10E-07;2,74E-05;0,000947678;-0,004977109;-3,90E-05;-0,000133097;1,08E-06;3,83E-05
88;0,000284901;-0,00077961;8,43E-05;1,52E-05;1,96E-06;3,96E-05;0,000284901;-0,00077961;8,43E-05;1,52E-05;1,96E-06;3,96E-05;0,000200436;-0,002022082;0,000130513;2,67E-05;-7,74E-07;-2,99E-05;0,000488135;-0,002232095;-9,29E-05;-0,000108759;4,00E-06;1,96E-05;0,000981488;-0,004913297;-4,33E-05;-0,000132106;1,57E-06;2,10E-05
89;0,000297323;-0,000634759;8,31E-05;1,10E-05;2,54E-06;3,62E-05;0,000297323;-0,000634759;8,31E-05;1,10E-05;2,54E-06;3,62E-05;0,000213836;-0,002142869;0,000132807;3,54E-05;-3,08E-06;-3,33E-05;0,0005105;-0,002163903;-9,33E-05;-0,000117153;2,52E-06;1,62E-05;0,001027422;-0,004860842;-4,35E-05;-0,000123434;-2,75E-06;1,03E-05
90;0,00030529;-0,000538092;8,02E-05;8,19E-06;7,72E-07;3,21E-05;0,00030529;-0,000538092;8,02E-05;8,19E-06;7,72E-07;3,21E-05;0,000219041;-0,002192271;0,000137035;3,97E-05;6,07E-07;-2,77E-06;0,000523815;-0,002101669;-9,47E-05;-0,000120543;3,97E-07;2,74E-05;0,001053422;-0,004776961;-4,13E-05;-0,00011693;1,16E-06;5,52E-05
91;0,00031415;-0,000446674;7,85E-05;5,93E-06;6,31E-07;2,84E-05;0,00031415;-0,000446674;7,85E-05;5,93E-06;6,31E-07;2,84E-05;0,000229811;-0,002183706;0,000140122;5,10E-05;2,82E-07;8,23E-06;0,000539607;-0,002008837;-9,26E-05;-0,00011713;-5,77E-07;3,40E-05;0,00108775;-0,004606568;-3,63E-05;-9,51E-05;-5,10E-07;7,24E-05
92;0,000323654;-0,000365735;7,73E-05;3,71E-06;8,63E-07;2,51E-05;0,000323654;-0,000365735;7,73E-05;3,71E-06;8,63E-07;2,51E-05;0,000240221;-0,002150569;0,000135218;4,23E-05;1,39E-06;1,36E-05;0,000556044;-0,001901641;-9,10E-05;-0,000121577;-8,90E-07;3,66E-05;0,001121639;-0,004404664;-3,81E-05;-0,000105621;-4,46E-07;7,88E-05
93;0,000331663;-0,000303472;7,54E-05;2,14E-06;2,49E-06;2,26E-05;0,000331663;-0,000303472;7,54E-05;2,14E-06;2,49E-06;2,26E-05;0,00025443;-0,002127743;0,000128433;4,18E-05;8,65E-08;3,04E-06;0,000573457;-0,001817509;-8,89E-05;-0,000121721;-1,78E-06;2,72E-05;0,001158402;-0,004249889;-3,95E-05;-0,000102885;-4,83E-06;5,42E-05
94;0,000342337;-0,000228207;7,11E-05;5,57E-07;2,92E-06;1,66E-05;0,000342337;-0,000228207;7,11E-05;5,57E-07;2,92E-06;1,66E-05;0,000267924;-0,00204059;0,00012307;4,11E-05;4,03E-06;4,27E-05;0,000592985;-0,001680625;-8,27E-05;-0,000117678;-2,38E-06;4,42E-05;0,001199517;-0,003965767;-3,34E-05;-9,51E-05;-7,96E-07;0,000114412
95;0,000349667;-0,000197035;6,53E-05;2,23E-07;2,13E-06;7,31E-06;0,000349667;-0,000197035;6,53E-05;2,23E-07;2,13E-06;7,31E-06;0,000284862;-0,001963909;0,000121237;4,12E-05;1,96E-06;1,68E-05;0,000612911;-0,001601089;-7,63E-05;-0,000112966;-2,18E-06;1,73E-05;0,001242432;-0,003781989;-2,43E-05;-8,84E-05;-2,61E-06;4,70E-05
96;0,000357274;-0,000182727;5,98E-05;3,31E-07;1,99E-06;2,22E-06;0,000357274;-0,000182727;5,98E-05;3,31E-07;1,99E-06;2,22E-06;0,000296694;-0,001914817;0,000116412;4,97E-05;3,20E-06;1,58E-05;0,000628491;-0,001555078;-6,79E-05;-0,000105413;-2,32E-06;1,35E-05;0,001275893;-0,003670581;-1,43E-05;-7,01E-05;-1,83E-06;3,73E-05
97;0,000363597;-0,000176977;5,48E-05;4,57E-07;2,50E-06;1,73E-06;0,000363597;-0,000176977;5,48E-05;4,57E-07;2,50E-06;1,73E-06;0,000306092;-0,001848192;0,000103017;3,82E-05;3,88E-06;2,87E-05;0,000639351;-0,001497102;-6,09E-05;-0,000107267;-2,63E-06;2,52E-05;0,001300699;-0,003535802;-1,29E-05;-8,62E-05;-1,71E-06;6,50E-05
98;0,000367812;-0,000168056;4,84E-05;6,61E-07;3,00E-06;4,62E-06;0,000367812;-0,000168056;4,84E-05;6,61E-07;3,00E-06;4,62E-06;0,000306876;-0,001712242;8,66E-05;3,27E-05;7,48E-06;6,91E-05;0,000643663;-0,001389526;-5,36E-05;-0,000101843;-5,54E-06;5,18E-05;0,001308293;-0,003278562;-1,38E-05;-8,65E-05;-1,27E-06;0,000144679
99;0,000373105;-0,000130437;4,02E-05;1,51E-06;3,25E-06;1,50E-05;0,000373105;-0,000130437;4,02E-05;1,51E-06;3,25E-06;1,50E-05;0,00031557;-0,001377794;7,41E-05;2,08E-05;5,55E-06;0,000105397;0,000654332;-0,00112074;-3,88E-05;-8,51E-05;-1,09E-05;8,83E-05;0,001331465;-0,00263529;7,13E-07;-7,87E-05;-1,10E-05;0,000236333
100;0,00037405;-8,31E-05;3,50E-05;8,17E-07;2,55E-06;2,35E-05;0,00037405;-8,31E-05;3,50E-05;8,17E-07;2,55E-06;2,35E-05;0,000317984;-0,001095495;7,12E-05;1,33E-05;2,72E-06;0,000126088;0,000657106;-0,00087796;-2,34E-05;-7,08E-05;-4,61E-06;0,000110774;0,001337148;-0,002067456;2,19E-05;-6,79E-05;-6,20E-06;0,000292219
101;0,000380065;-1,67E-05;2,93E-05;-1,14E-07;3,47E-06;2,01E-05;0,000380065;-1,67E-05;2,93E-05;-1,14E-07;3,47E-06;2,01E-05;0,000331515;-0,000711152;6,31E-05;5,11E-06;4,46E-06;0,000127335;0,000669166;-0,000539457;-5,82E-06;-4,93E-05;-3,31E-06;0,000112348;0,001366219;-0,001286842;4,36E-05;-4,90E-05;-2,35E-06;0,000292031
102;0,000386846;1,52E-05;2,27E-05;-1,33E-06;8,04E-06;8,30E-06;0,000386846;1,52E-05;2,27E-05;-1,33E-06;8,04E-06;8,30E-06;0,000342573;-0,00042643;5,07E-05;-2,12E-06;1,71E-05;0,00013125;0,000682017;-0,000306994;5,16E-06;-3,42E-05;-2,05E-06;9,76E-05;0,001394195;-0,000740992;5,01E-05;-3,93E-05;1,62E-05;0,000269105
103;9,95E-05;-0,000430309;2,93E-05;2,98E-06;-1,07E-05;-0,000123998;9,95E-05;-0,000430309;2,93E-05;2,98E-06;-1,07E-05;-0,000123998;4,13E-05;8,56E-06;1,43E-05;-1,53E-07;-4,40E-06;-6,12E-06;0,000146386;-0,000424742;3,46E-05;2,88E-06;-1,33E-05;-0,000132104;0,000285543;-0,000761822;6,89E-05;-3,34E-05;-2,05E-05;-0,000267778
104;0,00010511;-0,000702056;3,13E-05;1,06E-05;-3,22E-07;-0,000121228;0,00010511;-0,000702056;3,13E-05;1,06E-05;-3,22E-07;-0,000121228;4,55E-05;-1,88E-05;1,76E-05;5,68E-07;-1,84E-06;-1,82E-05;0,000157124;-0,000727661;3,40E-05;1,10E-05;4,35E-07;-0,000140856;0,000307683;-0,001316155;7,26E-05;-3,90E-05;-3,08E-06;-0,000298608
105;0,000114309;-0,001069938;2,61E-05;1,61E-05;1,42E-06;-0,000121568;0,000114309;-0,001069938;2,61E-05;1,61E-05;1,42E-06;-0,000121568;4,87E-05;-7,94E-05;2,05E-05;-1,99E-08;-1,45E-06;-2,15E-05;0,0001716;-0,001160414;2,13E-05;1,57E-05;3,29E-06;-0,000144475;0,000334148;-0,002117826;5,95E-05;-5,46E-05;2,70E-06;-0,000301353
106;0,000115321;-0,001341341;2,11E-05;2,20E-05;-1,29E-06;-0,000101537;0,000115321;-0,001341341;2,11E-05;2,20E-05;-1,29E-06;-0,000101537;4,86E-05;-0,000122801;2,39E-05;-6,78E-07;-1,61E-06;-1,40E-05;0,000174112;-0,001478365;1,01E-05;2,11E-05;4,88E-07;-0,000116732;0,000339965;-0,002699361;4,66E-05;-6,15E-05;5,17E-06;-0,000241628
107;0,000122603;-0,001662437;2,14E-05;3,22E-05;-4,23E-06;-6,59E-05;0,000122603;-0,001662437;2,14E-05;3,22E-05;-4,23E-06;-6,59E-05;5,29E-05;-0,000159618;3,10E-05;-1,91E-06;-1,96E-06;-5,27E-06;0,000187934;-0,001839999;-6,57E-07;3,04E-05;-2,01E-06;-7,18E-05;0,000367974;-0,003352039;3,95E-05;-6,80E-05;-2,00E-06;-0,000144922
108;0,000121282;-0,00178976;2,89E-05;3,71E-05;-1,43E-06;-2,57E-05;0,000121282;-0,00178976;2,89E-05;3,71E-05;-1,43E-06;-2,57E-05;5,54E-05;-0,000169676;3,73E-05;-2,07E-06;-2,34E-06;-1,99E-06;0,000190681;-0,00197841;-1,58E-06;3,51E-05;1,38E-06;-2,77E-05;0,000375868;-0,003604178;4,33E-05;-6,88E-05;-2,56E-07;-6,04E-05
109;0,000128348;-0,001850998;3,52E-05;4,51E-05;-7,10E-07;-1,52E-05;0,000128348;-0,001850998;3,52E-05;4,51E-05;-7,10E-07;-1,52E-05;6,03E-05;-0,000176852;4,44E-05;-1,64E-06;-2,46E-06;-2,84E-06;0,000204039;-0,002046226;-6,00E-06;4,31E-05;2,48E-06;-1,76E-05;0,000401765;-0,003731326;4,33E-05;-5,76E-05;1,64E-06;-3,61E-05
110;0,000139504;-0,001904079;3,57E-05;3,85E-05;-9,34E-07;-2,04E-05;0,000139504;-0,001904079;3,57E-05;3,85E-05;-9,34E-07;-2,04E-05;6,69E-05;-0,000192833;5,25E-05;-1,19E-06;-2,77E-06;-7,84E-06;0,000222773;-0,002112774;-1,66E-05;3,56E-05;2,27E-06;-2,70E-05;0,000438827;-0,003850363;3,38E-05;-7,48E-05;1,17E-06;-5,44E-05
111;0,000154119;-0,001983754;3,61E-05;3,97E-05;-3,94E-06;-4,04E-05;0,000154119;-0,001983754;3,61E-05;3,97E-05;-3,94E-06;-4,04E-05;7,39E-05;-0,000224717;6,09E-05;-4,17E-07;-3,58E-06;-1,66E-05;0,000244438;-0,002218301;-2,54E-05;3,52E-05;-4,93E-07;-5,36E-05;0,000481796;-0,004042578;2,61E-05;-7,93E-05;-2,27E-06;-0,000112856
112;0,000165598;-0,002070128;3,98E-05;4,04E-05;2,03E-06;-4,75E-06;0,000165598;-0,002070128;3,98E-05;4,04E-05;2,03E-06;-4,75E-06;8,33E-05;-0,000299969;7,11E-05;1,72E-06;-3,47E-06;-2,26E-05;0,000265587;-0,002364072;-3,60E-05;3,18E-05;6,17E-06;-2,24E-05;0,000524663;-0,004331767;1,84E-05;-8,71E-05;6,61E-06;-5,84E-05
113;0,00017707;-0,002089647;4,51E-05;3,96E-05;-7,49E-07;-1,02E-05;0,00017707;-0,002089647;4,51E-05;3,96E-05;-7,49E-07;-1,02E-05;9,00E-05;-0,000362367;7,76E-05;3,58E-06;-2,49E-06;-2,50E-05;0,000283432;-0,002431731;-4,07E-05;2,74E-05;2,48E-06;-2,93E-05;0,000560729;-0,004484217;1,64E-05;-9,25E-05;1,90E-06;-7,35E-05
114;0,000187558;-0,002119261;5,15E-05;4,72E-05;-1,26E-06;-9,22E-06;0,000187558;-0,002119261;5,15E-05;4,72E-05;-1,26E-06;-9,22E-06;9,84E-05;-0,000443068;8,52E-05;6,19E-06;-2,44E-06;-2,83E-05;0,000302132;-0,002522821;-4,56E-05;3,03E-05;1,86E-06;-3,08E-05;0,000598445;-0,004681832;1,42E-05;-8,41E-05;9,72E-07;-7,45E-05
115;0,000196984;-0,002133396;5,25E-05;3,89E-05;-5,39E-07;2,59E-07;0,000196984;-0,002133396;5,25E-05;3,89E-05;-5,39E-07;2,59E-07;0,000107028;-0,000534301;9,36E-05;9,08E-06;-2,69E-06;-3,20E-05;0,000319961;-0,002606459;-5,50E-05;1,68E-05;2,40E-06;-2,41E-05;0,000633855;-0,004861051;5,63E-06;-0,000102621;1,54E-06;-5,94E-05
116;0,000200959;-0,002092438;5,14E-05;3,49E-05;3,67E-06;2,98E-05;0,000200959;-0,002092438;5,14E-05;3,49E-05;3,67E-06;2,98E-05;0,000115034;-0,00062994;0,000102574;1,24E-05;-4,16E-06;-3,58E-05;0,000331423;-0,002637298;-6,55E-05;7,30E-06;8,26E-06;3,19E-06;0,000659347;-0,004953476;-2,04E-06;-0,000109023;6,42E-06;-1,35E-05
117;0,000213135;-0,00198032;5,50E-05;2,75E-05;-3,13E-07;2,88E-05;0,000213135;-0,00198032;5,50E-05;2,75E-05;-3,13E-07;2,88E-05;0,000126789;-0,000773844;0,000112727;1,74E-05;-3,39E-06;-3,93E-05;0,000354071;-0,0026322;-7,39E-05;-8,60E-06;4,52E-06;-4,66E-07;0,000705992;-0,00501036;-9,41E-06;-0,000117196;7,37E-07;-2,02E-05
118;0,000223965;-0,001913713;5,88E-05;2,51E-05;-1,06E-06;2,61E-05;0,000223965;-0,001913713;5,88E-05;2,51E-05;-1,06E-06;2,61E-05;0,000133858;-0,000875132;0,000118709;2,12E-05;-1,93E-06;-4,42E-05;0,000371075;-0,002641024;-7,66E-05;-1,69E-05;1,15E-06;-6,88E-06;0,000740392;-0,005070473;-1,08E-05;-0,00012037;8,59E-07;-3,59E-05
119;0,000234274;-0,00182106;6,27E-05;2,39E-05;-1,29E-06;3,58E-05;0,000234274;-0,00182106;6,27E-05;2,39E-05;-1,29E-06;3,58E-05;0,000143475;-0,001022651;0,000125393;2,67E-05;-1,12E-06;-5,34E-05;0,000389832;-0,00265847;-7,95E-05;-2,64E-05;1,10E-06;-4,09E-06;0,000778044;-0,005161052;-1,35E-05;-0,000117847;1,46E-06;-3,11E-05
120;0,00023534;-0,001707238;6,43E-05;2,30E-05;9,05E-07;6,82E-05;0,00023534;-0,001707238;6,43E-05;2,30E-05;9,05E-07;6,82E-05;0,000151461;-0,001152825;0,000128167;2,86E-05;3,56E-07;-6,43E-05;0,0003977;-0,002641109;-8,44E-05;-3,62E-05;8,79E-06;2,09E-05;0,000796909;-0,005185639;-1,84E-05;-0,00011759;6,75E-06;7,56E-06
121;0,000246963;-0,001419726;7,26E-05;2,17E-05;-3,55E-06;8,10E-05;0,000246963;-0,001419726;7,26E-05;2,17E-05;-3,55E-06;8,10E-05;0,000164674;-0,001432933;0,000128509;2,56E-05;1,86E-06;-8,16E-05;0,000420408;-0,002555422;-8,69E-05;-6,00E-05;6,06E-06;2,30E-05;0,00084394;-0,005170013;-2,65E-05;-0,000125606;1,04E-06;3,49E-07
122;0,000259881;-0,001141959;8,14E-05;2,54E-05;-2,20E-06;6,37E-05;0,000259881;-0,001141959;8,14E-05;2,54E-05;-2,20E-06;6,37E-05;0,000176799;-0,001723048;0,000128759;2,75E-05;-2,45E-06;-6,89E-05;0,000443439;-0,002484214;-8,54E-05;-7,72E-05;3,42E-06;1,45E-05;0,000890874;-0,005183411;-2,79E-05;-0,000118455;-4,70E-06;-6,91E-06
123;0,000267764;-0,001012534;8,39E-05;2,39E-05;-9,16E-07;5,28E-05;0,000267764;-0,001012534;8,39E-05;2,39E-05;-9,16E-07;5,28E-05;0,000178168;-0,0018387;0,000131814;2,89E-05;-3,32E-07;-3,62E-05;0,000453798;-0,002441771;-8,71E-05;-8,74E-05;2,48E-07;2,33E-05;0,000909749;-0,005157446;-2,82E-05;-0,000119169;7,61E-07;3,18E-05
124;0,000277347;-0,000866812;8,48E-05;1,90E-05;-1,13E-07;4,37E-05;0,000277347;-0,000866812;8,48E-05;1,90E-05;-1,13E-07;4,37E-05;0,000189126;-0,00193292;0,000133948;3,05E-05;-3,54E-07;-2,67E-05;0,000471522;-0,002368759;-8,89E-05;-9,92E-05;5,06E-07;2,47E-05;0,000947125;-0,005065413;-3,29E-05;-0,000122269;1,25E-06;3,64E-05
125;0,00028449;-0,000767417;8,47E-05;1,57E-05;1,54E-06;3,87E-05;0,00028449;-0,000767417;8,47E-05;1,57E-05;1,54E-06;3,87E-05;0,000200513;-0,002000763;0,000134223;3,33E-05;-6,88E-07;-2,95E-05;0,000487892;-0,002317858;-9,05E-05;-0,000104899;3,56E-06;1,72E-05;0,000981049;-0,005004681;-3,68E-05;-0,000119647;1,03E-06;2,06E-05
126;0,000296478;-0,000625852;8,37E-05;1,15E-05;2,42E-06;3,52E-05;0,000296478;-0,000625852;8,37E-05;1,15E-05;2,42E-06;3,52E-05;0,00021369;-0,002115169;0,000136232;4,13E-05;-4,31E-06;-3,03E-05;0,000510331;-0,002256265;-9,10E-05;-0,00011379;1,83E-06;1,50E-05;0,001027032;-0,004946619;-3,73E-05;-0,000112364;-4,96E-06;1,39E-05
